unique_id,academic_year,exam_type,course,year,subject,topic,subtopic,question
1,18-19,Mid Term,,1st,chemistry,,,"--- Page 1 ---
University Roll No................cc0.000.
End-Term Theory Examination, 2018-19

B.Tech. I Year, Il Semester
Engineering Chemistry (BCHS 0101)
Time: 3.0 Hr Max. Marks: 50
| Section-A
Note: Attempt all questions. 7x5 =35

1. Applying the concept of Molecular orbital theory, explain the nature of
bonding in Oxygen molecule by drawing its molecular orbital diagram,
calculate bond order and predict its magnetic behavior.

2. (a) Determine the calorific value of a fuel using the principle of Bomb
calorimeter.

(b) Calculate the gross and net calorific value of a coal sample,
containing 84% of carbon, 1.5% sulphur, 6% nitrogen, 5.5% hydrogen
and 8.4% oxygen. (Given latent heat of steam = 587cal/gram)
3. (a) Differentiate thermoplastic and thermoplastic polymer.
(b) Mention the composition, properties and industrial application of
Borosilicate glass.
4. (a) What are boiler problems?"
2,18-19,Mid Term,,1st,chemistry,,,"Which of the following is more
dangerous: Scale or Sludge
(b) A Zeolite bed exhausted by softening 4000 L of water sample
requires 10 L of 15% NaCl for regeneration. Calculate the hardness of
water sample.
5. (a) Derive ‘Henderson-Hasselbalch’ equation to calculate the PH of a
basic buffer.
(b) Calculate the pH of a solution obtained by mixing 50 mL of 0.1M
HCl with 50 mL of 0.2 M NaOH.
6. (a) Derive the integrated rate equation for first order reaction.
Page 1 of 2

--- Page 2 ---
04:14 - @ts Ges,

(b) For the second order reaction
CH;COOH+NaOH -—» CH;COONa + C2HsOH
At 25°C, K= 6.21x10° L Mol"" Sec""!. Calculate the time required for
the hydrolysis of 85% ester of the initial concentration of the
. reactants in the following reaction mixture: (0.05M ester + 0.1M
NaOH).
7. (a) State *Piling-Bedworth’ rule?"
3,18-19,Mid Term,,1st,chemistry,,,"(b) Make a blue print for corrosion control.
Section B

Note: Attempt all questions. | 3x2 =6

1. Define the term Auxochrome and Chromphore in UV-Visible
spectroscopy.

2. What is the range of Finger print region in IR spectroscopy?"
4,18-19,Mid Term,,1st,chemistry,,,"Highlight its significance.

3. What do you understand by equivalent and non equivalent proton?"
5,18-19,Mid Term,,1st,chemistry,,,"How many signals are obtained in NMR spectrum of the following
compounds?"
6,18-19,Mid Term,,1st,chemistry,,,"(i) CH;-O-CH; - (ii) CH3~CH2>-CH2-COOH

Note: Attempt all questions. 3x2 =6

4. (a) Differentiate Order of reaction and Molecularity.
(b) Calculate the energy of activation of a reaction, whose rate
constant is tripled by 10 °C rises in temperature in vicinity of 27 °C.

5. What is Corrosion?"
7,18-19,Mid Term,,1st,chemistry,,,"Discuss the mechanism of absorption of O2 type
corrosion.

6. Discuss the various industrial applications of nanotechnology.

Page 2 of 2?"
8,14-15,Mid Term,,1st,chemistry,,,"--- Page 1 ---
Univ. Roll an thnk

Il - Mid Term Examination 2014-15

Subject: Engg. Chemistry Paper Code: AHC-101
Time: 90 Min Max. Marks: 20

Section —A
Note: Attempt All Five Questions 1*5 =5 Marks

Ques.1. Define- Degree of freedom. °

Ques.2. Calculate pH of 0.0001M HCI sojution.
Ques.3. Write monomers of Terylene.
Ques.4. What is flash point?"
9,14-15,Mid Term,,1st,chemistry,,,Ques.5. What is potable water?
10,14-15,Mid Term,,1st,chemistry,,,"Sectiont B
Note: Attempt Any Three Question 2*3= 6 Marks

Ques.1. Calculate pH of one litre of solution containing 0.2M NH,OH and
0.25 MNH,CI solution. Ky for NH,OH is 1.8 X 10°.

Ques.2. Write a note on Tacticity.

Ques.3. What do you mean by hardness of water?"
11,14-15,Mid Term,,1st,chemistry,,,"How temporary hardness of
water can be removed?"
12,14-15,Mid Term,,1st,chemistry,,,"Ques.4. The hardness of 40,000 litres of a water sample was removed by
passing it through a zeolite softener. The softener then required 150 litres of
NaC] solution containing 150 gm/litre of NaCl for regeneration. Calculate the
hardness of the sample water.

Sectiont C
Note: Attempt Any Three Question 3*3= 9 Marks

Ques.1. Draw a neat labeled phase diagram of water system and explain th
areas and curve on it.

Ques.2. Write stepwise mechanism of cationic addition polymerizatio:
process.

Ques.3. Discuss the mechanism of thick film lubrication. Give two example
of solid tubricants.

Ques.4. Discuss the Zeolite process for the treatment of hard water. Writ
down the advantages and limitations of Zeolite process also.

& Pr} V?"
13,18-19,Mid Term,,1st,chemistry,,,"--- Page 1 ---
First Term Examination,

Odd Semester 2018-19
Program: B.Tech Year: First - Univ. No, -----
Subject: Engineering Chemistry Subject Code: BCHS-0101
Time: 1 Hour Max. Marks: 15
Section-A
Note: Attempt All Questions _ 3 x 2=6 Marks

1. Explain the Cloud and Pour point of lubricants

2. Differentiate Higher Calorific and Lower calorific value of a fuel.

3. What is hydrogen bond?"
14,18-19,Mid Term,,1st,chemistry,,,"Explain different types of hydrogen bonds
with suitable examples

Section-B
Note: Attempt All Questions 3x 3=9 Marks
1. With the help of Molecular Orbital Theory, draw the MO diagram of F2.

Calculate bond order & magnetic behavior also.
2. A gaseous fuel has the following composition by volume: H)=32%,

CH,=14%, N.=40% and O,=14%, If 25% excess air is used, find the
weight of air actually supplied per m° of this gas.

3. What are conformers?"
15,18-19,Mid Term,,1st,chemistry,,,"Explain conformation in n- butane with suitable
diagrams. Discuss their stability order by giving Energy Level diagram.?"
16,14-15,Mid Term,,1st,chemistry,,,"--- Page 1 ---
Printed Pages-2 . University Roll No.1 4\S°ee4eo
B. Tech. | Year, | Semester, | Mid Term Examination, 2014-15
AHC-101: Engineering Chemistry
% Marks:
Section-A

Note: Attempt All Questions. [1X0S=05 marks]

|. What is activation energy?"
17,14-15,Mid Term,,1st,chemistry,,,"How the rate constant of a reaction is
related to its activation energy?"
18,14-15,Mid Term,,1st,chemistry,,,"Il. Arrange the following molecule/ ions in order of their increasing
bond length : 0; , 0% 0,7, 0°.

III. Mention any two applications of photovoltaic ceils.

IV. H,0 is a liquid but H)S is a gas. Why?"
19,14-15,Mid Term,,1st,chemistry,,,V. Which conformation of n-butane is most stable and why?
20,14-15,Mid Term,,1st,chemistry,,,"Section-8 /

. s. [2X03=06 marks]
Note: Attempt Any Three Questions

|. A first order reaction is 20 % completed in 40 minutes. How long
will it take for the reaction to. go to 80 % completion.
Il. Assign (R)- or (S)- configuration to the following molecules- (by

giving proper numbering.)

Ci
COOH Hac : NO, .
CH20OH
OHC | 20 no | Br
CH;
OH
Page 1 of 2 ibs

IIL, Explain conductors and semi-conductors on the basis of Band
Theory.

IV. Write a short note on bio-materials.

Section-C .
Note: Atte Th ions. (3X 03=09 marks}
I. Derive an integrated rate equation for a second order reaction

When both reactants are same. Deduce an expression for it’s half
life period also.

Il. Draw the molecular orbital diagram of Np ; find out the bond order
and assign magnetic behaviour to it also,
Ul. Discuss the Structure of carbocation and explain the stability
order of Primary, secondary and tertiary aliphatic carbocations.
IV. What are smart materials?"
21,14-15,Mid Term,,1st,chemistry,,,"Mention some applications of
Piezoelectric effects. ¢

a: ee ves?"
22,14-15,Mid Term,,1st,chemistry,,,"--- Page 1 ---
a Vo 5G
1:43 40 @ 8 sald 4

Printed Pages-3 University Roll No............
B. Tech. | Year, 1 Semester, | Term Examination, 2014-15
” AHC-101: Engineering Chemistry

Time: 01 % Hours Total Marks: 20

Section-A

Note: Attempt All Questions. ’ [1X05=05 marks]

I. For a certain reaction, A > pg plot of In [A] versus ¢ gives

a straight line with a slope of — 1.24 s”. Find the order of the
reaction?"
23,14-15,Mid Term,,1st,chemistry,,,"II. Explain, why p- nitrophenol is more soluble than o-nitrophenol in
water.

Ill. Allyl halides react faster in nucleophilic substitution reactions as
compared to primary alkyl halides, Why?"
24,14-15,Mid Term,,1st,chemistry,,,"[V. Write molecular orbital electronic configuration of HF molecule.

V. What are functional materials?"
25,14-15,Mid Term,,1st,chemistry,,,"Give any two examples of organic
functional materials,

Section-B

Note: Attempt Any Three Questions. [2X03=06 marks]

I . For the second order reaction of base catalyzed hydrolysis of ester

at 35°C, k=6.81 1071 mol” 'sec~'calculate the time required for
the hydrolysis of 70% ester, if the initial concentration of reactants
in the reaction mixture are 0.05 M ester and 0.1 M NaOH.
Ul. Differentiate piezoelectric and reverse piezoelectric effects with
examples. |

Page 1 of 3


--- Page 2 ---
Jil. Arrange following carbanions in order of increasing stability by
giving proper explanation.
Ho==¢ H,c—CH CH;CH,
] Vv. Allocate ( R )- (S)- or (E)- ((Z)- configuration to the following
molecules- (by giving proper numbering.)

H20H
HOOC CHO
NH,

{a) (b)

NO,

: | A
(c) (d)
Section-C
Note: Attempt Any Three Questions. [3X 03=09 marks]

1.(a) Derive an integrated rate equation for a Second order

reaction, when both reactants are same.

(b).Calculate activation energy of the reaction, whose rate constant

is quadrupled by 10° rise in temperature in the vicinity of 28° C.

Page 2 of 3

II. Draw the molecular orbital diagram, calculate bond order and
assign magnetic behaviour to F, molecule.

III. Discuss the stability of conformers of n-butane by giving
suaitable energy level diagram.

IV. What are bio-materials?"
26,14-15,Mid Term,,1st,chemistry,,,"Write their important characteristics with

some applications.?"
27,18-19,Mid Term,,1st,chemistry,,,"--- Page 1 ---
04:10 - Q@ese ul

€ 1st Mid.pdf =] Q :

First Term Examination

Even Semester, 2018-19
Course: B.Tech. Univ. No. --—--—---—-
Title of Paper: Engineering Chemistry Paper Code: BCHS010!
Time: | Hour Max. Marks: 15
Section-A :
Note: Attempt All Questions 3 x 2=6 Marks

(1) Draw MO diagram of O2 molecule and calculate its bond order.
(II) (a) What do you mean by lubrication?"
28,18-19,Mid Term,,1st,chemistry,,,"(b) Write important applications of ceramics. :
(Ill). Assign E or Z configuration for (a) & (b) and R or §S
configuration for (c) & (d) molecules with proper leveling in
their order of priority.

3x3 =9 Marks
(I) What do you understand by hydrogen bond?"
29,18-19,Mid Term,,1st,chemistry,,,"Discuss its types
with example. How does it affect the properties of the
compound?"
30,18-19,Mid Term,,1st,chemistry,,,"(I) Explain the Bergius process for préparation of synthetic petrol
with neat diagram...
(In) (a) Differentiate HCV and LCV.
(b) A gas has following composition by volume: H2 = 32%, CH,
= 14%, CoHs = 10% N2 = 30% and O2 = 14%. If 30% excess air
is used, find the weight of air actually needed for combustion of

gas.

v4 =?"
31,18-19,Mid Term,,1st,chemistry,,,"--- Page 1 ---
End-Term Examination
Odd-Semester, 2018-19

Program: B.Tech. Year: Ist

Subject with Code: Engg. Chemistry, BCHCOIOI

Time: 3 Hour | Maximum Marks: 50
Section A

Attempt all questions [Sx7=6 marks]

Ques 1. [3+2]

(i) | Draw the molecular orbital diagram of Nz, find out bond order and
also assign magnetic behavior.

(ii) . Differentiate enantiomers and diastereomers.

Ques 2. . [3+2]

(i) | How experimentally calorific value of a fuel is determined by bomb
calorimeter?"
32,18-19,Mid Term,,1st,chemistry,,,"Explain with neat diagram.

(ii) Calculate the volume of air required for complete combustion of 20
litres of propane (CsHs).

Ques 3. [3+2]

(i) With the help of suitable diagram discuss reverse osmosis or ion.
exchange process for the treatment of hard water. om

(ii) What do you mean by smart Materials?"
33,18-19,Mid Term,,1st,chemistry,,,"Give any two examples of
smart Materia!s.

Ques 4. [3+2]

(i) Discuss the mechanism of thick film lubrication. Give two examples
of solid lubricants.

(ii) In a polymer sample, 20% molecules have molecular mass 15,000,
45% have molecular mass 30,000 and rest have 40,000. Calculate
number average and mass average molecular mass of polymer
sample.

Ques 5. [2+1+2]

(i) If in first order reaction time taken for the completion of 35%
of the reaction is 15 min. calculate the time for completion of
70% of the reaction.

(ii) | Write important industrial applications of ceramics.

(iii) Discuss the implications of corrosion on global economy.

--- Page 2 ---
@ x 2 “tl GS

Ques 6. [3+2]

(i) With reference to UV-Visible spectroscopy, discuss different types
of electronic transitions (with examples) for organic molecules.

(ii) Define annealing. Why it is required during the manufacturing of

glass.

Ques 7. [3+2]

(i) | Outline the different methods used for the protection of metal from
corrosion.

(ii) |The hardness of 1 litre of water was removed by a zeolite softener
which needed 117 mg NaC! for regeneration, calculate hardness of
water sample.

Section B
Attempt all questions
Ques 1. [3x2 = 6 marks]

(i) Calculate total number of fundamental vibrations, stretching
vibrations and bending vibrations for CO, and phenol.

(ii) Calculate pH of one litre of solution containing 0.2M NH<OH and
0.25 M NH.CI solution. K. for NH<OH is 1.8 X 10°.

(iii) What are nanomaterials?"
34,18-19,Mid Term,,1st,chemistry,,,"Define quantum dot and graphene.

Ques 2. [3x3 = 9 marks]

(i) What is corrosion?"
